seq,hold_id,cxL,cyL,cxR,cyR,X_mm,Y_mm,Z_mm,contact_part,timestamp
0,3,408,286,460,282,-435.20766588146836,-236.81602831840146,-5349.822455261342,hand,1758618359.792505
1,2,346,212,399,209,-9.361252578570681,262.74334390298975,-5248.799840785866,hand,1758618379.9513133
2,1,378,168,430,168,-229.23351199810324,559.5739049544702,-5349.737262862781,hand,1758618392.7507484
3,0,314,135,369,134,198.68838682749328,746.4971125239905,-5057.931146940345,hand,1758618395.5448868
