seq,hold_id,cxL,cyL,cxR,cyR,X_mm,Y_mm,Z_mm,contact_part,timestamp
0,3,472,300,386,268,528.6070767278984,143.07272075928327,3230.798865902446,hand,1758616347.7363055
1,2,410,225,322,196,265.3211093743499,-158.21612532326162,3159.5967448193906,hand,1758616358.3238318
2,1,442,183,354,152,395.06003761092455,-332.5301084023834,3158.5121109162005,hand,1758616369.2394006
3,0,379,149,291,117,139.582985125905,-472.6883691990218,3160.1908768490207,hand,1758616372.8694966
