hold_index,Lx,Ly,Rx,Ry,X,Y,Z,dist_mid,dist_line,colorB,colorG,colorR
0,510,15,77,24,-178.87462325318077,-176.68869854778168,1237.43469549323,1262.7191503453566,1249.9854086368096,0,255,0
1,608,61,173,76,-98.99980306908115,-135.52715002885273,1231.739227374169,1243.121109809891,1239.172761420803,0,255,0
2,555,126,122,136,-141.6470363401077,-84.44640110897994,1237.4346930009992,1248.3748223216742,1240.312788816892,0,255,0
