hold_index,Lx,Ly,Rx,Ry,X,Y,Z,dist_mid,dist_line,colorB,colorG,colorR
0,260,137,297,106,-44.962372683380245,982.3421746696902,-6269.043514720411,6345.701249865939,6345.541957752136,0,255,0
1,308,160,343,132,-517.787761528036,786.7595676241041,-6619.432481211782,6686.103585539028,6666.024076656912,0,255,0
2,284,191,320,163,-274.94759315077965,457.1768890858047,-6439.49886900594,6461.559608238738,6455.707272781423,0,255,0
3,332,243,368,218,-751.6141635266624,-74.64941131248506,-6434.155865168936,6478.337601785739,6434.5888937753525,0,255,0
