hold_index,Lx,Ly,Rx,Ry,X,Y,Z,dist_mid,dist_line,colorB,colorG,colorR
0,296,144,261,99,-320.8217361343791,-1037.075007980097,6614.2571521350355,6702.749348821174,6695.067008383589,0,255,0
1,343,168,308,124,160.52717172808147,-789.1402422663535,6634.956136068856,6683.6482718935,6681.7202313118405,0,255,0
2,320,199,284,155,-83.2581981894752,-457.5713437862893,6440.650500538172,6457.42071823594,6456.883954721271,0,255,0
3,368,255,332,210,396.22119182493014,94.9916764636554,6461.216267644167,6474.050533376933,6461.914505459431,0,255,0
